
#-ah-	UNKNOWN
#-aš1!	UNKNOWN
#-ba-ni-ma	UNKNOWN
#-da-	UNKNOWN
#-e	UNKNOWN
#-it-,	UNKNOWN
#-kam	UNKNOWN_NOUN_ADJ
#-ku	UNKNOWN
#-ma	UNKNOWN
#-mu?}	UNKNOWN
#-ni!-	UNKNOWN
#-ni-kà-IR-šu	UNKNOWN
#-ni-ma	UNKNOWN
#-ta!-	UNKNOWN
#-tum	UNKNOWN_NOUN_ADJ
#-tù-	UNKNOWN
#-un!-	UNKNOWN
#-x	UNKNOWN
#-šu	UNKNOWN
#-šum}	UNKNOWN
#En!-na-A-šur	UNKNOWN
#GA-ma-ma	UNKNOWN
#KIŠIB-{kà-a}	UNKNOWN
#Kam!-ma!-li-a	UNKNOWN
#Ku-bi-na-ah-šu	UNKNOWN
#Ku-ku	UNKNOWN
#Ku-na-a	UNKNOWN
#Ni-ma-	UNKNOWN
#TÚG-ta-nu	UNKNOWN
#a-GA-ZI-im	UNKNOWN_NOUN_ADJ
#a-dí	UNKNOWN
#a-gu5-ru-ni?	UNKNOWN
#a-na	UNKNOWN
#a-na-HI	UNKNOWN
#a-na-hi	UNKNOWN
#a-ni-GI}	UNKNOWN
#a-ša-qal	UNKNOWN
#a-šu-LÁ-šu	UNKNOWN
#a-šu-mì-kà	UNKNOWN
#ba-ri-ni	UNKNOWN
#d.NA!-líl-ba-ni	UNKNOWN
#dí-in	UNKNOWN
#dí-in}	UNKNOWN
#eppaš-šum	UNKNOWN_NOUN_ADJ
#eq-	UNKNOWN
#eṭe-ru	UNKNOWN
#gi5-ri-ma	UNKNOWN
#gám-ru	UNKNOWN
#i-DA-hi;	UNKNOWN
#i-dí-i-ma	UNKNOWN
#i-hi-iṭ-ma	UNKNOWN
#i-ku-ri-a	UNKNOWN
#i-kà-pár	UNKNOWN
#i-ma-gu5-ru-kà	UNKNOWN
#i-mu-a	UNKNOWN
#i-ša-lá-mu-tim	UNKNOWN_NOUN_ADJ
#i-ṭá-hi	UNKNOWN
#i-ší-ú-ni-ma?	UNKNOWN
#il5-la-ak}	UNKNOWN
#im-qú-ut	UNKNOWN
#iš-bi4-ma	UNKNOWN
#ki-ri-tim	UNKNOWN_NOUN_ADJ
#ki?-ra-tim	UNKNOWN_NOUN_ADJ
#kà?-	UNKNOWN
#li-GA-ší	UNKNOWN
#li-bi	UNKNOWN
#li-dí-na-ku-nu-tí	UNKNOWN
#li-ik-pu!-ur}	UNKNOWN
#li-ša-ak-nu-kum	UNKNOWN_NOUN_ADJ
#li-ṣi;	UNKNOWN
#li-ṭù-lu	UNKNOWN
#lu-la-pì-ta-tum}	UNKNOWN
#lu-ri-HI-ma	UNKNOWN
#lu-ta!-dí-in;	UNKNOWN
#ma-na	UNKNOWN
#me-	UNKNOWN
#me-NI-e	UNKNOWN
#n\-elia	UNKNOWN
#ni-ik-nu-uk-ma	UNKNOWN
#ni-zi-ta-ku-nu-tí-ma	UNKNOWN
#sú-ri-im	UNKNOWN_NOUN_ADJ
#ta-dí-RU-šu-um	UNKNOWN_NOUN_ADJ
#ta-hi-tum}	UNKNOWN
#tuštabba^-ni	UNKNOWN
#tám-kà-ri-im	UNKNOWN_NOUN_ADJ
#té-er-tám	UNKNOWN
#té-ṭí-ir	UNKNOWN
#wata-ru?	UNKNOWN
#{-lá-la-}!}	UNKNOWN
#{..-šum}	UNKNOWN
#{Ha-mì-ṣa-nim}}	UNKNOWN
#{Ku-du-bi-iš}}	UNKNOWN
#{Ku?!-tù}?}	UNKNOWN
#{KÙ.BABBAR.áp-šu!-nu}	UNKNOWN
#{Wa-za}	UNKNOWN
#{a-na}}	UNKNOWN
#{a-pu-úh	UNKNOWN
#{a-qá-té-e}?}	UNKNOWN
#{e-hi-id}}	UNKNOWN
#{hi-da-ma}!}	UNKNOWN
#{i-re-qú}}	UNKNOWN
#{ki-dim}	UNKNOWN
#{li-ba-kà	UNKNOWN
#{li-qé-a-ma	UNKNOWN
#{ni-sí-ma!}	UNKNOWN
#{ra-biṣ-šu-nu}}	UNKNOWN
#{ta-ze-ar}}	UNKNOWN
#{té-ra-bu}}	UNKNOWN
#{té-ru-bu}}	UNKNOWN
#{tù-ša-am-ri-ṣú}?}	UNKNOWN
#{ur-kà-at-sú}}	UNKNOWN
#{wa-ša-áb}?}	UNKNOWN
#{ú-dí-i}?}	UNKNOWN
#{ša-ar-tim}}	UNKNOWN
#{Šu-li}	UNKNOWN
#{šu-lu-AH}!}	UNKNOWN
#{šé-bi-lam}?}	UNKNOWN
#{ší-a-tim}?}	UNKNOWN
#Ú-{be-tum}	UNKNOWN
#ù-mu	UNKNOWN
#ú-ma-qá-at	UNKNOWN
#ú-ta-NI	UNKNOWN
#ú-za-ku	UNKNOWN
#ša-lá-ṭim	UNKNOWN_NOUN_ADJ
#ṭa-tí	UNKNOWN
#Šu-Iš-ha-ra	UNKNOWN
#šu-a-am	UNKNOWN_NOUN_ADJ
#šu-ta-lá-al	UNKNOWN
#ṭup-pá-kà	UNKNOWN
#ší-ip-ri-kà	UNKNOWN
A-gu-a	Agua+Name
A-gu-a	Agua+Name+1csPoss
A-gu-sà!	UNKNOWN
A-gu-za-nim	UNKNOWN_NOUN_ADJ
A-gu5-a	Agua+Name
A-gu5-a	Agua+Name+1csPoss
A-gu5-za	Aguza+Name
A-gu5-za	Aguza+Name+1csPoss
A-gu5-za!-num	UNKNOWN_NOUN_ADJ
A-ha-ar	UNKNOWN
A-ha-ha	Ahaha+Name
A-ha-ha	Ahaha+Name+1csPoss
A-ha-ha-a	Ahaha+Name
A-ha-ha-a	Ahaha+Name+1csPoss
A-ha-ha-ma	Ahaha+Name+1csPoss+MA
A-ha-ha-ma	Ahaha+Name+MA
A-ha-tim	Ahāt+Name+Masc+Sg+Gen
A-he-e	UNKNOWN
A-hi-a-a	UNKNOWN
A-hu-/wa-qar	UNKNOWN
A-hu-a	UNKNOWN
A-hu-mì-lá	UNKNOWN
A-hu-qar	UNKNOWN
A-hu-wa-qar	Ahu-waqar+Name
A-hu-wa-qar-ma	Ahu-waqar+Name+MA
A-hu-wa-qár	UNKNOWN
A-ki-dì-e	UNKNOWN
A-ki-dí-e	UNKNOWN
A-ki-ta-a	UNKNOWN
A-ku-a	Akua+Name
A-ku-a	Akua+Name+1csPoss
A-ku-ku-um	UNKNOWN_NOUN_ADJ
A-ku-tim	UNKNOWN_NOUN_ADJ
A-kà-*zi	UNKNOWN
A-la-ha-am	Ali-ah+Name+Masc+Sg+Acc
A-la-ha-am	Alāh+Name+Masc+Sg+Acc
A-la-hi-im	Ali-ah+Name+Masc+Sg+Gen
A-la-hi-im	Alāh+Name+Masc+Sg+Gen
A-la-hu-um-ma	Ali-ah+Name+Masc+Sg+Nom+MA
A-la-hu-um-ma	Alāh+Name+Masc+Sg+Nom+MA
A-la-la	Alala+Name
A-la-la	Alala+Name+1csPoss
A-la-la	Alāla+Name
A-la-la	Alāla+Name+1csPoss
A-la-la-ma	Alala+Name+1csPoss+MA
A-la-la-ma	Alala+Name+MA
A-la-la-ma	Alāla+Name+1csPoss+MA
A-la-la-ma	Alāla+Name+MA
A-lam	UNKNOWN_NOUN_ADJ
A-li-a	UNKNOWN
A-li-li	Alili+Name
A-li-li	Alili+Name+1csPoss
A-li-li-ma	Alili+Name+1csPoss+MA
A-li-li-ma	Alili+Name+MA
A-li-wa-aq-ru-um	UNKNOWN_NOUN_ADJ
A-lim.ki	UNKNOWN
A-limki	UNKNOWN
A-lu	UNKNOWN
A-lu-LUGAL-ri-im	UNKNOWN_NOUN_ADJ
A-lu-a-ra-bi	UNKNOWN
A-lu-lu	Alulu+Name
A-lu-lá-a	Alulu+Name+1csPoss
A-lu-lá-a	Alulāya+Name
A-lu-lá-a	Alulāya+Name+1csPoss
A-lá-bi-im	Alāb+Name+Masc+Sg+Gen
A-lá-bi4-im	Alāb+Name+Masc+Sg+Gen
A-lá-bu-um	Alāb+Name+Masc+Sg+Nom
A-lá-ha-am	Ali-ah+Name+Masc+Sg+Acc
A-lá-ha-am	Alāh+Name+Masc+Sg+Acc
A-lá-hi!-im	UNKNOWN_NOUN_ADJ
A-lá-hi-im	Ali-ah+Name+Masc+Sg+Gen
A-lá-hi-im	Alāh+Name+Masc+Sg+Gen
A-lá-hi-nim	UNKNOWN_NOUN_ADJ
A-lá-hu-um	Ali-ah+Name+Masc+Sg+Nom
A-lá-hu-um	Alāh+Name+Masc+Sg+Nom
A-lá-hu-um-ma	Ali-ah+Name+Masc+Sg+Nom+MA
A-lá-hu-um-ma	Alāh+Name+Masc+Sg+Nom+MA
A-lá-ku	Alāku+Name
A-lá-ku-ma	Alāku+Name+MA
A-lá-lá	Alala+Name
A-lá-lá	Alala+Name+1csPoss
A-lá-lá	Alāla+Name
A-lá-lá	Alāla+Name+1csPoss
A-lá-ma	UNKNOWN
A-lá-ni	Aluani+Name
A-lá-ni	Aluani+Name+1csPoss
A-lá-ú-a-ni	UNKNOWN
A-ma-a	Amua+Name
A-ma-a	Amua+Name+1csPoss
A-ma-a	Amāya+Name
A-ma-a	Amāya+Name+1csPoss
A-ma-ri-im	Amār+Name+Masc+Sg+Gen
A-me-ta	UNKNOWN
A-mu-a	Amua+Name
A-mu-a	Amua+Name+1csPoss
A-mu-ra	Amurāya+Name
A-mu-ra-a	Amurāya+Name
A-mu-ra-a	Amurāya+Name+1csPoss
A-mu-ra-am-e-nam	UNKNOWN_NOUN_ADJ
A-mur-*Ištar	UNKNOWN
A-mur-/Ištar	UNKNOWN
A-mur-A-šur	Amur-Aššur+Name
A-mur-A-šur-ma	Amur-Aššur+Name+MA
A-mur-A-šùr	Amur-Aššur+Name
A-mur-A-šùr-ma	Amur-Aššur+Name+MA
A-mur-DINGIR	Amur-Ilī+Name
A-mur-DINGIR	Amur-ilī+Name
A-mur-DINGIR-ma	Amur-Ilī+Name+MA
A-mur-DINGIR-ma	Amur-ilī+Name+MA
A-mur-Iš-tar	Amur-Ištar+Name
A-mur-Ištar	Amur-Ištar+Name
A-mur-Ištar-/ma	UNKNOWN
A-mur-Ištar-ma	Amur-Ištar+Name+MA
A-mur-d!.En-líl?	UNKNOWN
A-mur-d.A-šùr	UNKNOWN
A-mur-d.UTU	UNKNOWN
A-mur-d.UTU.ši	UNKNOWN
A-mur-d.UTU?	UNKNOWN
A-mur-dUTU	UNKNOWN
A-mur-kà-lá	Amur-kala+Name
A-mur-kà-lá	Amur-kala+Name+1csPoss
A-mur-ša-ra-sà	UNKNOWN
A-na-a-a	UNKNOWN
A-na-ah-A-šur-ma	Anah-Aššur+Name+MA
A-na-ah-DINGIR	Anah-ilī+Name
A-na-ah-Ištar	UNKNOWN
A-na-ah-Ištar!	UNKNOWN
A-na-ah-ì-lí	Anah-ilī+Name
A-na-ah-ì-lí	Anah-ilī+Name+1csPoss
A-na-ku-DINGIR-ma	UNKNOWN
A-na-kà-a	UNKNOWN
A-na-lí	Anali+Name
A-na-lí	Anali+Name+1csPoss
A-na-lí-ma	Anali+Name+1csPoss+MA
A-na-lí-ma	Anali+Name+MA
A-na-na	Anani+Name+1csPoss
A-na-ni	Anani+Name
A-na-ni	Anani+Name+1csPoss
A-na-ni7	UNKNOWN
A-na-nu-um	UNKNOWN_NOUN_ADJ
A-ni-na	Anina+Name
A-ni-na	Anina+Name+1csPoss
A-ni-na	Anināya+Name
A-ni-na	Annina+Name
A-ni-na	Annina+Name+1csPoss
A-ni-na-a	Anina+Name
A-ni-na-a	Anina+Name+1csPoss
A-ni-na-a	Anināya+Name
A-ni-na-a	Anināya+Name+1csPoss
A-ni-na-a	Annina+Name
A-ni-na-a	Annina+Name+1csPoss
A-ni-ni-im	UNKNOWN_NOUN_ADJ
A-ni-nim	UNKNOWN_NOUN_ADJ
A-ni-nu-um	UNKNOWN_NOUN_ADJ
A-ni-num	UNKNOWN_NOUN_ADJ
A-nu-a	UNKNOWN
A-nu-ki	Anuki+Name
A-nu-ki	Anuki+Name+1csPoss
A-nu-nu	Anunu+Name
A-nu-nu-ma	Anunu+Name+MA
A-nu-wa	UNKNOWN
A-pá-ta-na-nim	UNKNOWN_NOUN_ADJ
A-pì-lá	UNKNOWN
A-pì-lá-ma	UNKNOWN
A-ri-a	Amria+Name
